Entry,Entry.Name,Protein.names,Reviewed,ComplexPortal,OrthoDB
Q9P127,LUZP4_HUMAN,Leucine zipper protein 4 (Cancer/testis antigen 28) (CT-28) (CT28) (Tumor antigen HOM-TES-85),reviewed,CPX-2488;CPX-7261;,9809010at2759;
Q6P5S7,RNK_HUMAN,Ribonuclease kappa (RNase K) (RNase kappa) (EC 3.1.-.-) (V-type proton ATPase subunit f) (V-ATPase subunit f),reviewed,CPX-2470;CPX-6904;CPX-6905;CPX-6912;,67317at2759;
Q86UK7,ZN598_HUMAN,E3 ubiquitin-protein ligase ZNF598 (EC 2.3.2.27) (Zinc finger protein 598),reviewed,CPX-2332;CPX-2336;,3838338at2759;
Q8IYI0,SHLD1_HUMAN,Shieldin complex subunit 1 (RINN1-REV7-interacting novel NHEJ regulator 3) (Shield complex subunit 1),reviewed,CPX-3481;,9446682at2759;
Q9BRJ2,RM45_HUMAN,"Large ribosomal subunit protein mL45 (39S ribosomal protein L45, mitochondrial) (L45mt) (MRP-L45)",reviewed,CPX-5226;,19619at2759;
Q9NZH7,IL36B_HUMAN,Interleukin-36 beta (FIL1 eta) (Interleukin-1 eta) (IL-1 eta) (Interleukin-1 family member 8) (IL-1F8) (Interleukin-1 homolog 2) (IL-1H2),reviewed,CPX-10340;,9442925at2759;
Q9NUS5,AP5S1_HUMAN,AP-5 complex subunit sigma-1 (Adaptor-related protein complex 5 sigma subunit) (Sigma5),reviewed,CPX-5181;,370698at2759;
Q9NWN3,FBX34_HUMAN,F-box only protein 34,reviewed,CPX-7975;,10052741at2759;
Q6ZNK6,TIFAB_HUMAN,TRAF-interacting protein with FHA domain-containing protein B (TIFA-like protein),reviewed,CPX-9661;,9835751at2759;
A1L190,SYCE3_HUMAN,Synaptonemal complex central element protein 3 (Testis highly expressed gene 2 protein) (THEG-2),reviewed,CPX-2461;,9944849at2759;
P01877,IGHA2_HUMAN,Immunoglobulin heavy constant alpha 2 (Ig alpha-2 chain C region) (Ig alpha-2 chain C region BUT) (Ig alpha-2 chain C region LAN),reviewed,CPX-6962;CPX-6963;CPX-6964;CPX-6965;CPX-6966;CPX-6967;,9944186at2759;
Q07326,PIGF_HUMAN,Phosphatidylinositol-glycan biosynthesis class F protein (PIG-F) (GPI11 homolog),reviewed,CPX-2677;CPX-2679;,17366at2759;
Q5TAT6,CODA1_HUMAN,Collagen alpha-1(XIII) chain (COLXIIIA1),reviewed,CPX-1754;,8964326at2759;
Q5UE93,PI3R6_HUMAN,Phosphoinositide 3-kinase regulatory subunit 6 (Phosphoinositide 3-kinase gamma adapter protein of 87 kDa) (p84 PI3K adapter protein) (p84 PIKAP) (p87 PI3K adapter protein) (p87PIKAP),reviewed,CPX-5987;,8781591at2759;
Q6NVH7,SWAP1_HUMAN,ATPase SWSAP1 (SWIM-type zinc finger 7-associated protein 1) (SWS1-associated protein 1) (ZSWIM7-associated protein 1) (ZSWIM7AP1),reviewed,CPX-2186;,67296at2759;
Q6ZTW0,TPGS1_HUMAN,Tubulin polyglutamylase complex subunit 1 (PGs1),reviewed,CPX-2572;,64214at2759;
Q86XQ3,CTSR3_HUMAN,Cation channel sperm-associated protein 3 (CatSper3) (Ca(v)-like protein) (One-repeat calcium channel-like protein),reviewed,CPX-9165;,416585at2759;
Q8NBZ0,IN80E_HUMAN,INO80 complex subunit E (Coiled-coil domain-containing protein 95),reviewed,CPX-846;,5977486at2759;
Q9NS37,ZHANG_HUMAN,CREB/ATF bZIP transcription factor (Host cell factor-binding transcription factor Zhangfei) (HCF-binding transcription factor Zhangfei),reviewed,CPX-6542;CPX-6601;,6606299at2759;
Q9NS73,MBIP1_HUMAN,MAP3K12-binding inhibitory protein 1 (MAPK upstream kinase-binding inhibitory protein) (MUK-binding inhibitory protein),reviewed,CPX-1004;CPX-997;,5531344at2759;
A6NHX0,CAST2_HUMAN,Cytosolic arginine sensor for mTORC1 subunit 2 (Cellular arginine sensor for mTORC1 protein 2) (GATS-like protein 2),reviewed,CPX-2667;,58529at2759;
A8MTZ0,BBIP1_HUMAN,BBSome-interacting protein 1 (BBSome-interacting protein of 10 kDa),reviewed,CPX-1908;,10274623at2759;
P01854,IGHE_HUMAN,Immunoglobulin heavy constant epsilon (Ig epsilon chain C region) (Ig epsilon chain C region ND),reviewed,CPX-6969;CPX-6970;CPX-6971;CPX-6972;CPX-6973;CPX-6974;,8694217at2759;
P59780,AP3S2_HUMAN,AP-3 complex subunit sigma-2 (AP-3 complex subunit sigma-3B) (Adaptor-related protein complex 3 subunit sigma-2) (Sigma-3B-adaptin) (Sigma3B-adaptin) (Sigma-adaptin 3b),reviewed,CPX-5052;CPX-5053;,10261046at2759;
Q1HG44,DOXA2_HUMAN,Dual oxidase maturation factor 2 (Dual oxidase activator 2),reviewed,CPX-8182;,10042652at2759;
Q6P050,FXL22_HUMAN,F-box and leucine-rich protein 22,reviewed,CPX-2489;,549243at2759;
Q86XM0,CTSRD_HUMAN,Cation channel sperm-associated auxiliary subunit delta (CatSper-delta) (CatSperdelta) (Transmembrane protein 146),reviewed,CPX-9165;,8646292at2759;
Q86XT2,VP37D_HUMAN,Vacuolar protein sorting-associated protein 37D (ESCRT-I complex subunit VPS37D) (Williams-Beuren syndrome chromosomal region 24 protein),reviewed,CPX-7148;CPX-7167;CPX-7203;,8921242at2759;
Q8IYR0,CF206_HUMAN,Cilia- and flagella-associated protein 206,reviewed,CPX-8163;CPX-8164;,10251073at2759;
Q8NFR3,SPTSB_HUMAN,Serine palmitoyltransferase small subunit B (Protein ADMP) (Small subunit of serine palmitoyltransferase B) (ssSPTb),reviewed,CPX-6664;CPX-6681;,10341425at2759;
Q9H079,KTBL1_HUMAN,KATNB1-like protein 1 (Katanin p80 subunit B-like 1),reviewed,CPX-6366;CPX-6381;CPX-6383;,8754475at2759;
Q9UPM9,B9D1_HUMAN,B9 domain-containing protein 1 (MKS1-related protein 1),reviewed,CPX-2531;,431939at2759;
A6NGQ2,OOEP_HUMAN,Oocyte-expressed protein homolog (KH homology domain-containing protein 2) (Oocyte- and embryo-specific protein 19) (hOEP19),reviewed,CPX-2210;,9533079at2759;
Q13113,PDZ1I_HUMAN,PDZK1-interacting protein 1 (17 kDa membrane-associated protein) (Protein DD96),reviewed,CPX-8879;,9900654at2759;
Q19AV6,ZSWM7_HUMAN,Zinc finger SWIM domain-containing protein 7 (SWIM domain-containing and Srs2-interacting protein 1 homolog) (SWIM-type zinc finger domain-containing protein 7),reviewed,CPX-2186;,337581at2759;
Q659A1,ICE2_HUMAN,Little elongation complex subunit 2 (Interactor of little elongator complex ELL subunit 2) (NMDA receptor-regulated protein 2),reviewed,CPX-2712;CPX-2713;CPX-2714;,6288737at2759;
Q6NUP7,PP4R4_HUMAN,Serine/threonine-protein phosphatase 4 regulatory subunit 4,reviewed,CPX-1845;,340346at2759;
Q8IWT0,ARCH_HUMAN,Protein archease (Protein ZBTB8OS) (Zinc finger and BTB domain-containing opposite strand protein 8),reviewed,CPX-6411;,2190767at2759;
Q8IYA8,IHO1_HUMAN,Interactor of HORMAD1 protein 1 (Cancer/testis antigen 74) (CT74) (Coiled-coil domain-containing protein 36),reviewed,CPX-2358;,10066605at2759;
Q8N6L1,KTAP2_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit KCP2 (Oligosaccharyl transferase subunit KCP2) (Keratinocyte-associated protein 2) (KCP-2),reviewed,CPX-5621;,9537453at2759;
Q8NCA5,FA98A_HUMAN,Protein FAM98A,reviewed,CPX-6411;,512356at2759;
Q8WWB5,PIHD2_HUMAN,PIH1 domain-containing protein 2,reviewed,CPX-6150;,545063at2759;
Q9NQ89,FERY3_HUMAN,Ferry endosomal RAB5 effector complex subunit 3 (Fy-3),reviewed,CPX-2540;,415359at2759;
O60830,TI17B_HUMAN,Mitochondrial import inner membrane translocase subunit Tim17-B,reviewed,CPX-6130;,2261329at2759;
P0C1Z6,TFPT_HUMAN,TCF3 fusion partner (INO80 complex subunit F) (Protein FB1),reviewed,CPX-846;,10070927at2759;
P58400,NRX1B_HUMAN,Neurexin-1-beta (Neurexin I-beta),reviewed,CPX-4101 [P58400-1];CPX-909 [P58400-1];,6275838at2759;
Q14159,SPIDR_HUMAN,DNA repair-scaffolding protein (Scaffolding protein involved in DNA repair),reviewed,CPX-2186;,1914453at2759;
Q14714,SSPN_HUMAN,Sarcospan (K-ras oncogene-associated protein) (Kirsten-ras-associated protein),reviewed,CPX-2424;CPX-2443;CPX-2454;CPX-2455;,10027693at2759;
Q5T011,SZT2_HUMAN,KICSTOR complex protein SZT2 (Seizure threshold 2 protein homolog),reviewed,CPX-6229;,43547at2759;
Q6AI39,BICRL_HUMAN,BRD4-interacting chromatin-remodeling complex-associated protein-like (Glioma tumor suppressor candidate region gene 1 protein-like),reviewed,CPX-4203;CPX-4207;CPX-4224;CPX-4226;,2556847at2759;
Q6PIF2,SYCE2_HUMAN,Synaptonemal complex central element protein 2 (Central element synaptonemal complex protein 1),reviewed,CPX-2461;,6142414at2759;
Q86V20,SHLD2_HUMAN,Shieldin complex subunit 2 (Protein FAM35A) (RINN1-REV7-interacting novel NHEJ regulator 2) (Shield complex subunit 2),reviewed,CPX-3481;,5963585at2759;
Q86XK3,SFR1_HUMAN,Swi5-dependent recombination DNA repair protein 1 homolog (Meiosis protein 5 homolog),reviewed,CPX-8093;,10051617at2759;
Q86YW7,GPHB5_HUMAN,Glycoprotein hormone beta-5 (Thyrostimulin subunit beta),reviewed,CPX-7802;,10006958at2759;
Q8N108,MIER1_HUMAN,Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1) (hMi-er1),reviewed,CPX-2184;CPX-9162;,5916873at2759;
Q8N140,EID3_HUMAN,EP300-interacting inhibitor of differentiation 3 (EID-3) (E1A-like inhibitor of differentiation 3) (EID-1-like inhibitor of differentiation 3) (Non-structural maintenance of chromosomes element 4 homolog B) (NS4EB) (Non-SMC element 4 homolog B),reviewed,CPX-5992;,361242at2759;
Q8TCE6,DEN10_HUMAN,DENN domain-containing protein 10 (Protein FAM45A),reviewed,CPX-2211;,66409at2759;
Q8TCJ0,FBX25_HUMAN,F-box only protein 25,reviewed,CPX-7965;,9991467at2759;
Q969R8,ITFG2_HUMAN,KICSTOR complex protein ITFG2 (Integrin-alpha FG-GAP repeat-containing protein 2),reviewed,CPX-6229;,9996127at2759;
Q96AJ1,CLUA1_HUMAN,Clusterin-associated protein 1 (Qilin),reviewed,CPX-5022;,9536059at2759;
Q96ER9,MITOK_HUMAN,Mitochondrial potassium channel (MITOK) (Coiled-coil domain-containing protein 51),reviewed,CPX-6083;,6243211at2759;
Q96IK1,BOD1_HUMAN,Biorientation of chromosomes in cell division protein 1 (Biorientation defective protein 1) (Protein FAM44B),reviewed,CPX-7111;,7605699at2759;
Q96T91,GPHA2_HUMAN,Glycoprotein hormone alpha-2 (Putative secreted protein Zsig51) (Thyrostimulin subunit alpha),reviewed,CPX-7802;,9413153at2759;
Q9BTL3,RAMAC_HUMAN,RNA guanine-N7 methyltransferase activating subunit (Protein FAM103A1) (RNA guanine-7 methyltransferase activating subunit) (RNMT-activating mRNA cap methyltransferase subunit) (RNMT-activating mini protein) (RAM),reviewed,CPX-8781;,5875297at2759;
Q9BXS0,COPA1_HUMAN,Collagen alpha-1(XXV) chain (Alzheimer disease amyloid-associated protein) (AMY) (CLAC-P) [Cleaved into: Collagen-like Alzheimer amyloid plaque component (CLAC)],reviewed,CPX-1766 [Q9BXS0-1];CPX-390 [Q9BXS0-2];CPX-391 [Q9BXS0-3];,6380629at2759;
Q9BXU0,TEX12_HUMAN,Testis-expressed protein 12,reviewed,CPX-2461;,6155282at2759;
Q9H5J8,TAF1D_HUMAN,TATA box-binding protein-associated factor RNA polymerase I subunit D (RNA polymerase I-specific TBP-associated factor 41 kDa) (TAFI41) (TATA box-binding protein-associated factor 1D) (TBP-associated factor 1D) (Transcription initiation factor SL1/TIF-IB subunit D),reviewed,CPX-7978;,9950926at2759;
Q9NX04,AIRIM_HUMAN,AFG2-interacting ribosome maturation factor (Ribosome biogenesis protein C1orf109),reviewed,CPX-9182;,6605214at2759;
Q9P0N5,TM216_HUMAN,Transmembrane protein 216,reviewed,CPX-2531;,262535at2759;
Q9P0W0,IFNK_HUMAN,Interferon kappa (IFN-kappa),reviewed,CPX-6009;,8922121at2759;
Q9Y284,ASTER_HUMAN,PAT complex subunit Asterix (Protein associated with the ER translocon of 10kDa) (PAT-10) (PAT10) (WD repeat domain 83 opposite strand) (WDR83 opposite strand),reviewed,CPX-7020;,284718at2759;
A8K0Z3,WASH1_HUMAN,WASH complex subunit 1 (CXYorf1-like protein on chromosome 9) (Protein FAM39E) (WAS protein family homolog 1),reviewed,CPX-1163;CPX-1172;,9535213at2759;
O96033,MOC2A_HUMAN,Molybdopterin synthase sulfur carrier subunit (MOCO1-A) (Molybdenum cofactor synthesis protein 2 small subunit) (Molybdenum cofactor synthesis protein 2A) (MOCS2A) (Molybdopterin-synthase small subunit) (Sulfur carrier protein MOCS2A),reviewed,CPX-6341;,5531344at2759;
Q641Q2,WAC2A_HUMAN,WASH complex subunit 2A,reviewed,CPX-1172;CPX-1173;CPX-1174;CPX-1175;CPX-1176;,751084at2759;
Q6UX40,TM107_HUMAN,Transmembrane protein 107,reviewed,CPX-2531;,2114471at2759;
Q8WWB3,DYDC1_HUMAN,DPY30 domain-containing protein 1,reviewed,CPX-8163;CPX-8164;,432281at2759;
Q96DM3,RMC1_HUMAN,Regulator of MON1-CCZ1 complex (Colon cancer-associated protein Mic1) (Mic-1) (WD repeat-containing protein 98),reviewed,CPX-8152;CPX-8153;CPX-8165;CPX-8166;,26384at2759;
Q96GS4,BORC6_HUMAN,BLOC-1-related complex subunit 6 (Lysosome-dispersing protein) (Lyspersin),reviewed,CPX-5029;,21270at2759;
Q9BQD3,KXDL1_HUMAN,KxDL motif-containing protein 1,reviewed,CPX-5029;,10258877at2759;
Q9BTK6,PAGR1_HUMAN,PAXIP1-associated glutamate-rich protein 1 (Glutamate-rich coactivator interacting with SRC1) (GAS) (PAXIP1-associated protein 1) (PTIP-associated protein 1),reviewed,CPX-7091;CPX-7104;,10067843at2759;
Q9BXH1,BBC3_HUMAN,"Bcl-2-binding component 3, isoforms 1/2 (JFY-1) (p53 up-regulated modulator of apoptosis)",reviewed,CPX-1986;CPX-1987;,9540104at2759;
Q9HB65,ELL3_HUMAN,RNA polymerase II elongation factor ELL3,reviewed,CPX-2714;,6284217at2759;
Q9NPH9,IL26_HUMAN,Interleukin-26 (IL-26) (Protein AK155),reviewed,CPX-10316;CPX-10317;,9289879at2759;
Q9NQ92,COPRS_HUMAN,Coordinator of PRMT5 and differentiation stimulator (Cooperator of PRMT5) (Protein TTP1),reviewed,CPX-8149;,9451728at2759;
Q9NQC8,IFT46_HUMAN,Intraflagellar transport protein 46 homolog,reviewed,CPX-5022;,2119217at2759;
Q9Y2B1,RXLT1_HUMAN,"Ribitol-5-phosphate xylosyltransferase 1 (EC 2.4.2.61) (Transmembrane protein 5) (UDP-D-xylose:ribitol-5-phosphate beta1,4-xylosyltransferase)",reviewed,CPX-7722;,8560686at2759;
Q9Y2F5,ICE1_HUMAN,Little elongation complex subunit 1 (Interactor of little elongator complex ELL subunit 1),reviewed,CPX-2712;CPX-2713;CPX-2714;,2238957at2759;
Q2LKV5,NL1B3_MOUSE,"NACHT, LRR and PYD domains-containing protein 1b allele 3",reviewed,CPX-4269;,428577at2759;
A4GXA9,EME2_HUMAN,Probable crossover junction endonuclease EME2 (EC 3.1.22.-),reviewed,CPX-586;,343092at2759;
A5D8V7,ODAD3_HUMAN,Outer dynein arm-docking complex subunit 3 (Coiled-coil domain-containing protein 151),reviewed,CPX-2626;,10255247at2759;
A7MCY6,TBKB1_HUMAN,TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1),reviewed,CPX-6090;,8796075at2759;
O14925,TIM23_HUMAN,Mitochondrial import inner membrane translocase subunit Tim23,reviewed,CPX-6129;CPX-6130;,159299at2759;
O15318,RPC7_HUMAN,DNA-directed RNA polymerase III subunit RPC7 (RNA polymerase III subunit C7) (DNA-directed RNA polymerase III subunit G) (RNA polymerase III 32 kDa apha subunit) (RPC32-alpha) (RNA polymerase III 32 kDa subunit) (RPC32),reviewed,CPX-2393;,5377312at2759;
O43556,SGCE_HUMAN,Epsilon-sarcoglycan (Epsilon-SG),reviewed,CPX-2453;,10019906at2759;
O75072,FKTN_HUMAN,Ribitol-5-phosphate transferase FKTN (EC 2.7.8.-) (Fukutin) (Fukuyama-type congenital muscular dystrophy protein) (Ribitol-5-phosphate transferase),reviewed,CPX-7722;,444255at2759;
O95876,FRITZ_HUMAN,WD repeat-containing and planar cell polarity effector protein fritz homolog (hFRTZ) (Bardet-Biedl syndrome 15 protein) (WD repeat-containing and planar cell polarity effector protein),reviewed,CPX-5001;,10013020at2759;
P01571,IFN17_HUMAN,Interferon alpha-17 (IFN-alpha-17) (Interferon alpha-88) (Interferon alpha-I') (LeIF I) (Interferon alpha-T),reviewed,CPX-6005;,9526363at2759;
P0DPB6,RPAC2_HUMAN,DNA-directed RNA polymerases I and III subunit RPAC2 (RNA polymerases I and III subunit AC2) (AC19) (DNA-directed RNA polymerase I subunit D) (RNA polymerase I 16 kDa subunit) (RPA16) (RPC16) (hRPA19),reviewed,CPX-2386;CPX-2393;CPX-7482;,510325at2759;
P68543,UBX2A_HUMAN,UBX domain-containing protein 2A (UBX domain-containing protein 4),reviewed,CPX-8124;,25887at2759;
Q13319,CD5R2_HUMAN,Cyclin-dependent kinase 5 activator 2 (CDK5 activator 2) (Cyclin-dependent kinase 5 regulatory subunit 2) (p39) (p39I),reviewed,CPX-3141;,7676799at2759;
Q13794,APR_HUMAN,Phorbol-12-myristate-13-acetate-induced protein 1 (PMA-induced protein 1) (Immediate-early-response protein APR) (Protein Noxa),reviewed,CPX-304;,10351553at2759;
Q2M389,WASC4_HUMAN,WASH complex subunit 4 (Strumpellin and WASH-interacting protein) (SWIP) (WASH complex subunit SWIP),reviewed,CPX-1163;CPX-1168;CPX-1169;CPX-1170;CPX-1171;CPX-1172;CPX-1173;CPX-1174;CPX-1175;CPX-1176;,10261210at2759;
Q5TD94,RSH4A_HUMAN,Radial spoke head protein 4 homolog A (Radial spoke head-like protein 3),reviewed,CPX-8163;,272202at2759;
Q5XKP0,MIC13_HUMAN,MICOS complex subunit MIC13 (Protein P117),reviewed,CPX-6141;,5948578at2759;
Q86VX9,MON1A_HUMAN,Vacuolar fusion protein MON1 homolog A,reviewed,CPX-8153;CPX-8165;,272411at2759;
Q8IXZ2,ZC3H3_HUMAN,Zinc finger CCCH domain-containing protein 3 (Smad-interacting CPSF-like factor),reviewed,CPX-2750;CPX-2752;,3247158at2759;
Q8IY82,DRC7_HUMAN,Dynein regulatory complex subunit 7 (Coiled-coil domain-containing protein 135) (Coiled-coil domain-containing protein lobo homolog),reviewed,CPX-8086;,10262874at2759;
Q8N344,MIER2_HUMAN,Mesoderm induction early response protein 2 (Mi-er2),reviewed,CPX-9163;CPX-9167;,5916873at2759;
Q8N5P1,ZC3H8_HUMAN,Zinc finger CCCH domain-containing protein 8,reviewed,CPX-2712;CPX-2713;CPX-2714;,411372at2759;
Q8N612,FHI1B_HUMAN,FHF complex subunit HOOK-interacting protein 1B (FHIP1B) (FTS- and Hook-interacting protein) (FHIP),reviewed,CPX-2356;CPX-2359;,13130at9604;
Q8N6L0,KASH5_HUMAN,Protein KASH5 (Coiled-coil domain-containing protein 155) (KASH domain-containing protein 5),reviewed,CPX-2537;CPX-7666;,9943648at2759;
Q8ND04,SMG8_HUMAN,Nonsense-mediated mRNA decay factor SMG8 (Amplified in breast cancer gene 2 protein) (Protein smg-8 homolog),reviewed,CPX-2827;,63589at2759;
Q8NEV9,IL27A_HUMAN,Interleukin-27 subunit alpha (IL-27 subunit alpha) (IL-27-A) (IL27-A) (Interleukin-30) (p28),reviewed,CPX-8822;CPX-8836;,9446539at2759;
Q969F1,TF3C6_HUMAN,General transcription factor 3C polypeptide 6 (Transcription factor IIIC 35 kDa subunit) (TFIIIC 35 kDa subunit) (TFIIIC35) (Transcription factor IIIC subunit 6),reviewed,CPX-2373;,1877767at2759;
Q969F9,HPS3_HUMAN,BLOC-2 complex member HPS3 (Hermansky-Pudlak syndrome 3 protein),reviewed,CPX-5044;,10255480at2759;
Q969J3,BORC5_HUMAN,BLOC-1-related complex subunit 5 (Loss of heterozygosity 12 chromosomal region 1) (Myristoylated lysosomal protein) (Myrlysin),reviewed,CPX-5029;,10035640at2759;
Q96A83,COQA1_HUMAN,Collagen alpha-1(XXVI) chain (Alpha-1 type XXVI collagen) (EMI domain-containing protein 2) (Emilin and multimerin domain-containing protein 2) (Emu2),reviewed,CPX-1767;,10071545at2759;
Q96FV3,TSN17_HUMAN,Tetraspanin-17 (Tspan-17) (F-box only protein 23) (Tetraspan protein SB134) (Transmembrane 4 superfamily member 17),reviewed,CPX-8108;,2014092at2759;
Q96GX1,TECT2_HUMAN,Tectonic-2,reviewed,CPX-2531;,9282501at2759;
Q9BQ90,KLDC3_HUMAN,Kelch domain-containing protein 3 (Testis intracellular mediator protein),reviewed,CPX-2228;,432528at2759;
Q9BQE9,BCL7B_HUMAN,B-cell CLL/lymphoma 7 protein family member B (allergen Hom s 3),reviewed,CPX-1195;CPX-4084;CPX-4203;CPX-4206;CPX-4207;CPX-4223;CPX-4224;CPX-4225;CPX-4226;,5989898at2759;
Q9BVI4,NOC4L_HUMAN,Nucleolar complex protein 4 homolog (NOC4 protein homolog) (NOC4-like protein) (Nucleolar complex-associated protein 4-like protein),reviewed,CPX-2511;,10263185at2759;
Q9BW66,CINP_HUMAN,Cyclin-dependent kinase 2-interacting protein (CDK2-interacting protein),reviewed,CPX-9182;,9480363at2759;
Q9H0E3,SP130_HUMAN,Histone deacetylase complex subunit SAP130 (130 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p130),reviewed,CPX-3321;CPX-3322;CPX-3323;,10048604at2759;
Q9H1X1,RSPH9_HUMAN,Radial spoke head protein 9 homolog,reviewed,CPX-8163;CPX-8164;,10258956at2759;
Q9H293,IL25_HUMAN,Interleukin-25 (IL-25) (Interleukin-17E) (IL-17E),reviewed,CPX-9204;CPX-9306;,6038945at2759;
Q9HAE3,CLXN_HUMAN,Calaxin (EF-hand calcium-binding domain-containing protein 1),reviewed,CPX-2626;,191686at2759;
Q9NPJ8,NXT2_HUMAN,NTF2-related export protein 2 (Protein p15-2),reviewed,CPX-2401;CPX-2435;CPX-2549;CPX-2612;,25408at2759;
Q9NQG7,HPS4_HUMAN,BLOC-3 complex member HPS4 (Hermansky-Pudlak syndrome 4 protein) (Light-ear protein homolog),reviewed,CPX-5043;,16754at2759;
Q9NWS0,PIHD1_HUMAN,PIH1 domain-containing protein 1 (Nucleolar protein 17 homolog),reviewed,CPX-6143;,5135119at2759;
Q9NWU2,GID8_HUMAN,Glucose-induced degradation protein 8 homolog (Two hybrid-associated protein 1 with RanBPM) (Twa1),reviewed,CPX-7901;CPX-7902;CPX-7903;CPX-876;,2415936at2759;
Q9NZM4,BICRA_HUMAN,BRD4-interacting chromatin-remodeling complex-associated protein (Glioma tumor suppressor candidate region gene 1 protein),reviewed,CPX-4084;CPX-4206;CPX-4223;CPX-4225;,2556847at2759;
Q9Y3E2,BOLA1_HUMAN,BolA-like protein 1 (hBolA),reviewed,CPX-6862;,4983at2759;
Q9Y4E1,WAC2C_HUMAN,WASH complex subunit 2C (Vaccinia virus penetration factor) (VPEF),reviewed,CPX-1163;CPX-1168;CPX-1169;CPX-1170;CPX-1171;,751084at2759;
Q9Y5T4,DJC15_HUMAN,DnaJ homolog subfamily C member 15 (Cell growth-inhibiting gene 22 protein) (Methylation-controlled J protein) (MCJ),reviewed,CPX-6129;CPX-6130;,240298at2759;
Q9Y5U8,MPC1_HUMAN,Mitochondrial pyruvate carrier 1 (Brain protein 44-like protein),reviewed,CPX-6154;,1697690at2759;
A0JLT2,MED19_HUMAN,Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19),reviewed,CPX-3227;,10044050at2759;
C9JR72,KBTBD_HUMAN,Kelch repeat and BTB domain-containing protein 13,reviewed,CPX-9081;,45365at2759;
O00258,GET1_HUMAN,Guided entry of tail-anchored proteins factor 1 (Congenital heart disease 5 protein) (Tail-anchored protein insertion receptor WRB) (Tryptophan-rich basic protein),reviewed,CPX-6464;,69461at2759;
O15182,CETN3_HUMAN,Centrin-3,reviewed,CPX-7281;,343296at2759;
O75161,NPHP4_HUMAN,Nephrocystin-4 (Nephroretinin),reviewed,CPX-2806;,313446at2759;
P01876,IGHA1_HUMAN,Immunoglobulin heavy constant alpha 1 (Ig alpha-1 chain C region) (Ig alpha-1 chain C region BUR) (Ig alpha-1 chain C region TRO),reviewed,CPX-6955;CPX-6956;CPX-6958;CPX-6959;CPX-6960;CPX-6961;,9944186at2759;
P60006,APC15_HUMAN,Anaphase-promoting complex subunit 15 (APC15),reviewed,CPX-1860;,6362917at2759;
P78316,NOP14_HUMAN,Nucleolar protein 14 (Nucleolar complex protein 14),reviewed,CPX-2511;,441771at2759;
P85299,PRR5_HUMAN,Proline-rich protein 5 (Protein observed with Rictor-1) (Protor-1),reviewed,CPX-4402;,2290221at2759;
Q14442,PIGH_HUMAN,Phosphatidylinositol N-acetylglucosaminyltransferase subunit H (Phosphatidylinositol-glycan biosynthesis class H protein) (PIG-H),reviewed,CPX-6502;,6256716at2759;
